,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Electronic computer manufacturing,"63,781","67,113","67,401","71,654","60,144","52,376","48,362","43,726","44,560","47,966","48,280","47,434","38,961","23,997","12,566","12,697","10,493","12,189","12,846","16,742","15,728","17,221","15,791","16,931","17,802"
Computer storage device manufacturing,"14,630","15,757","14,156","13,944","10,814","8,620","9,164","7,463","8,993","8,984","9,163","8,528","6,433","8,396","8,980","9,038","10,258","8,871","8,291","8,233","6,510","6,870","7,664","7,643","9,299"
Computer terminals and other computer peripheral equipment manufacturing,"27,921","28,864","27,694","28,321","20,322","16,221","14,484","16,210","17,005","20,082","15,690","15,770","11,675","11,516","13,531","12,984","12,594","11,020","10,765","11,081","11,196","12,150","10,708","11,197","11,859"
Telephone apparatus manufacturing,"42,507","46,744","58,679","70,084","58,596","33,766","27,556","24,923","24,335","31,697","23,720","12,562","11,800","13,347","13,190","12,373","12,873","11,806","11,850","8,593","8,356","7,266","7,359","6,874","7,367"
Broadcast and wireless communications equipment,"42,170","41,355","42,069","56,705","51,467","36,687","39,774","40,833","40,229","43,685","46,012","47,848","37,021","36,504","35,147","35,360","36,727","33,153","33,887","30,663","31,099","32,749","32,250","31,416","34,087"
Other communications equipment manufacturing,"4,721","4,822","5,253","6,210","7,451","6,639","6,003","5,007","4,928","6,125","5,995","5,592","5,362","6,762","6,767","6,653","7,134","7,555","6,694","5,467","5,262","5,219","5,373","5,082","5,567"
Semiconductor and related device manufacturing,"81,432","77,267","86,092","93,870","65,470","65,454","71,875","77,597","81,171","75,608","78,393","73,215","56,359","66,270","68,225","57,138","54,759","56,540","57,088","57,005","58,213","59,667","59,350","63,378","68,171"
Printed circuit assembly (electronic assembly) manufacturing,"27,511","25,627","29,775","36,650","30,089","24,334","24,412","22,641","23,383","23,359","24,250","23,912","18,347","21,426","21,657","19,554","20,902","19,480","20,663","19,021","20,453","23,533","24,397","24,004","25,920"
Other electronic component manufacturing,"35,865","35,361","36,971","43,323","35,653","28,507","27,341","26,858","27,588","28,678","31,612","31,376","24,957","27,673","30,095","30,872","31,091","32,150","32,586","31,112","31,646","33,531","33,904","34,694","36,771"
Electromedical and electrotherapeutic apparatus manufacturing,"12,065","12,821","13,221","14,140","14,280","16,075","16,752","17,253","18,875","19,926","26,235","25,624","23,015","24,865","25,015","28,683","29,120","28,378","28,858","30,506","32,996","34,938","37,539","35,552","37,479"
"Search, detection, and navigation instruments manufacturing","38,996","37,914","37,199","39,075","39,438","36,294","37,224","43,619","42,470","44,158","51,158","54,382","52,478","53,509","54,584","51,359","49,610","47,937","47,917","52,325","55,029","55,704","57,540","60,763","63,362"
Automatic environmental control manufacturing,"3,224","3,356","3,267","3,464","3,109","3,295","3,116","3,046","2,626","2,710","3,414","3,285","2,691","2,939","2,835","2,774","2,830","2,890","2,618","2,740","2,754","3,000","2,803","2,525","2,663"
Industrial process variable instruments manufacturing,"8,611","8,343","8,254","8,673","8,004","7,708","7,697","8,126","8,352","9,329","10,267","10,571","8,622","9,032","10,337","12,095","12,168","12,492","11,888","10,844","11,737","12,744","12,730","11,982","12,696"
Totalizing fluid meter and counting device manufacturing,"4,049","4,134","4,569","4,998","4,650","5,002","5,132","5,663","5,498","5,267","5,838","5,978","5,192","6,028","6,689","6,906","5,923","5,491","5,417","5,596","5,442","5,572","4,640","4,578","4,576"
Electricity and signal testing instruments manufacturing,"14,729","13,935","14,525","16,740","13,089","10,686","10,895","11,976","11,850","12,299","13,384","11,763","8,948","10,141","11,008","13,348","12,607","12,203","11,523","11,279","12,333","13,349","13,039","12,440","12,235"
Analytical laboratory instrument manufacturing,"7,310","7,814","8,335","9,192","9,196","8,917","8,568","9,204","10,100","10,921","13,733","14,984","13,260","14,313","14,619","14,600","14,479","17,245","17,491","17,296","16,299","17,321","17,372","16,715","18,254"
Irradiation apparatus manufacturing,"4,478","4,520","4,229","4,763","4,588","4,272","4,006","5,402","5,817","5,433","5,697","4,634","4,308","4,216","3,871","9,407","10,584","10,230","9,968","9,301","8,755","7,657","8,275","8,100","9,187"
"Watch, clock, and other measuring and controlling device manufacturing","7,047","7,372","7,703","8,722","8,662","7,556","7,310","7,790","8,666","9,847","10,284","10,709","8,831","9,098","10,839","12,379","12,762","12,722","12,065","12,264","14,545","16,362","16,599","14,185","15,157"
Audio and video equipment manufacturing,"10,167","10,679","8,502","9,381","8,041","10,045","10,046","12,638","13,140","12,967","14,351","7,953","7,122","4,213","8,047","3,016","2,880","2,820","2,828","3,007","2,657","2,958","3,737","4,777","8,111"
Manufacturing and reproducing magnetic and optical media,"9,915","10,892","8,529","8,770","8,150","7,716","8,090","8,196","8,065","6,870","6,870","7,089","4,776","4,592","3,658","3,006","2,774","2,856","2,916","3,335","1,984","1,912","1,553","1,576","1,860"
Electric lamp bulb and part manufacturing,"3,267","3,314","2,927","3,031","2,454","2,581","2,536","2,447","2,365","2,138","2,083","1,996","1,877","1,914","1,682","1,812","1,715","1,515","1,052","1,107","1,427","1,654","1,293","1,101","1,180"
Lighting fixture manufacturing,"9,481","10,103","10,608","10,345","10,180","9,770","8,949","9,343","10,074","11,015","11,273","11,451","8,867","8,487","9,876","10,214","10,415","10,766","11,322","11,723","11,953","11,919","12,068","10,364","10,640"
Small electrical appliance manufacturing,"5,435","5,368","4,623","5,176","4,533","4,396","4,326","4,341","3,740","3,650","3,563","3,303","3,289","3,002","2,902","3,401","3,287","3,274","3,536","3,177","3,502","3,579","3,481","3,476","4,308"
Household cooking appliance manufacturing,"3,382","3,699","3,770","3,956","3,613","4,044","4,197","4,057","4,400","4,187","4,111","3,821","3,524","3,742","3,824","4,320","4,376","4,541","4,766","4,959","4,812","5,004","5,492","5,961","7,539"
Household refrigerator and home freezer manufacturing,"4,897","5,272","6,073","5,974","5,749","5,553","5,803","5,867","6,126","6,056","5,716","4,549","3,601","3,545","3,569","3,598","3,545","3,738","3,879","4,220","4,311","4,555","5,054","5,155","6,496"
Household laundry equipment manufacturing,"3,654","3,986","3,529","3,379","3,259","3,355","3,680","3,950","4,285","4,111","3,742","3,648","3,102","3,200","3,132","3,603","3,522","3,723","3,849","4,212","4,569","4,725","5,067","5,143","6,559"
Other major household appliance manufacturing,"3,248","3,320","3,421","3,630","3,647","3,488","3,480","4,045","4,231","4,268","4,574","4,711","3,977","4,056","4,158","4,541","4,486","4,822","5,125","5,191","5,256","5,401","5,769","5,877","7,483"
"Power, distribution, and specialty transformer manufacturing","4,806","4,667","4,510","4,838","4,145","4,148","3,895","3,605","4,138","5,065","7,464","7,352","5,848","5,568","6,066","5,901","5,838","5,948","5,491","5,412","5,325","5,811","6,475","6,047","6,388"
Motor and generator manufacturing,"12,100","11,501","10,741","10,063","9,334","9,193","9,370","10,270","11,424","12,116","12,417","13,851","10,368","10,291","11,529","11,462","11,050","11,283","10,506","9,983","9,811","10,760","11,946","10,867","11,152"
Switchgear and switchboard apparatus manufacturing,"7,558","7,864","8,488","10,027","9,350","7,991","7,846","8,016","8,179","9,229","10,525","11,147","10,099","9,883","10,696","11,070","11,938","12,120","11,675","11,626","11,637","12,525","12,859","12,933","13,538"
Relay and industrial control manufacturing,"11,242","11,340","10,885","10,927","9,676","9,148","8,461","9,249","9,295","9,885","11,113","10,578","8,829","9,219","9,854","10,026","10,125","10,689","10,352","9,897","10,274","10,734","10,655","10,206","10,369"
Storage battery manufacturing,"4,521","4,332","5,004","5,049","4,169","3,827","3,535","3,497","3,808","4,206","5,701","6,374","5,306","6,005","6,705","6,501","6,499","7,989","8,071","7,612","7,424","7,677","7,362","6,091","7,010"
Primary battery manufacturing,"2,449","2,703","2,820","3,023","2,839","2,927","2,818","2,543","2,862","3,220","3,087","3,297","3,729","4,455","4,908","4,506","4,054","3,743","3,739","2,613","2,273","2,490","2,484","2,881","3,256"
Communication and energy wire and cable manufacturing,"15,159","15,157","16,414","19,377","15,901","11,253","10,295","11,307","13,023","15,881","16,038","15,601","11,302","13,591","15,517","15,191","13,805","14,526","14,491","11,936","10,847","11,185","11,631","11,376","14,030"
Wiring device manufacturing,"10,535","11,945","12,271","12,701","11,711","10,489","10,107","11,002","11,165","11,816","12,580","13,171","9,653","10,087","10,829","12,938","14,524","14,133","13,999","13,630","14,436","14,736","13,948","13,676","16,941"
Carbon and graphite product manufacturing,"2,358","2,334","2,113","2,080","1,753","1,723","1,723","1,754","1,976","2,361","2,671","2,898","1,861","2,671","3,186","3,439","3,385","3,394","3,310","3,119","3,364","4,293","4,493","3,513","4,363"
All other miscellaneous electrical equipment and component manufacturing,"7,011","7,828","8,729","11,525","8,233","6,974","6,916","7,156","7,651","7,995","9,623","9,170","7,455","8,851","9,391","10,323","10,971","10,253","10,807","10,813","10,416","11,364","12,305","12,593","12,909"
Automobile manufacturing,"99,050","101,135","99,135","100,208","91,783","85,182","81,234","88,582","90,070","99,379","87,504","74,459","46,038","52,869","52,655","58,911","62,090","67,131","66,442","64,698","53,108","50,602","50,598","35,632","34,824"
Light truck and utility vehicle manufacturing,"111,218","114,617","144,867","126,352","140,870","145,758","160,992","163,181","164,157","154,830","161,280","117,205","99,513","137,162","170,243","171,279","206,398","237,078","267,590","283,801","286,999","301,340","309,423","309,483","367,006"
Heavy duty truck manufacturing,"14,801","18,578","22,704","20,563","13,167","16,578","16,020","21,621","26,959","30,467","21,564","19,656","19,675","24,851","29,988","31,475","30,905","32,089","35,526","25,465","27,321","34,071","35,419","22,715","26,661"
Motor vehicle body manufacturing,"8,597","9,255","10,264","9,955","7,092","7,894","8,374","9,108","10,079","10,994","11,383","10,603","10,498","11,604","12,483","11,550","12,068","12,874","14,072","14,405","14,721","15,689","16,869","14,538","15,636"
Truck trailer manufacturing,"5,404","6,356","6,775","6,419","4,239","3,957","4,453","5,677","6,982","7,980","7,216","5,917","4,262","5,373","6,934","8,205","8,232","9,384","10,270","10,649","10,455","12,025","12,342","9,855","10,677"
Motor home manufacturing,"3,906","4,483","5,254","4,314","3,257","5,422","5,809","6,159","6,060","5,368","5,603","3,754","1,694","2,856","3,198","2,340","3,247","4,035","4,253","4,754","5,481","5,355","4,738","3,933","5,668"
Travel trailer and camper manufacturing,"4,693","5,262","6,090","6,321","5,980","6,729","6,835","8,534","9,514","10,725","10,592","7,865","5,870","7,402","7,873","10,552","11,927","13,820","14,288","14,646","17,535","18,646","18,965","19,338","22,533"
Motor vehicle gasoline engine and engine parts manufacturing,"29,245","29,935","32,059","31,951","30,278","34,723","35,172","35,348","34,480","31,850","27,906","29,016","28,905","31,957","33,530","29,949","32,298","33,133","34,899","36,849","37,098","38,698","36,620","33,619","36,461"
Motor vehicle electrical and electronic equipment manufacturing,"21,470","22,284","26,386","25,302","26,128","24,811","24,133","20,640","22,503","22,470","19,816","19,885","20,076","21,177","21,135","19,635","21,501","24,055","25,253","24,172","23,999","24,876","25,422","21,476","23,364"
Motor vehicle transmission and power train parts manufacturing,"30,866","31,265","35,986","36,163","31,760","35,889","34,163","36,286","35,106","34,953","36,605","27,168","22,226","28,959","30,538","35,500","36,198","38,553","38,361","38,432","41,198","43,523","44,841","37,865","41,109"
Motor vehicle seating and interior trim manufacturing,"11,760","12,091","13,967","15,234","13,948","15,929","15,923","16,057","17,671","18,607","20,445","17,395","12,961","17,251","21,500","23,034","25,671","30,038","32,361","34,816","32,133","31,386","30,240","25,989","28,098"
Motor vehicle metal stamping,"24,399","25,026","26,046","24,987","23,219","26,470","26,835","27,441","27,767","27,083","30,612","25,944","18,827","26,309","29,264","30,189","32,576","35,535","37,764","39,329","38,315","39,951","38,811","31,393","34,677"
Other Motor Vehicle Parts Manufacturing,"42,815","44,962","48,771","50,264","44,910","43,285","43,626","44,069","45,700","46,079","49,981","47,142","35,190","47,530","57,627","57,635","59,741","65,893","68,959","66,287","62,689","67,184","64,711","55,189","60,820"
"Motor vehicle steering, suspension component (except spring), and brake systems manufacturing","22,733","22,476","24,729","24,238","21,641","24,035","24,313","24,783","25,401","24,458","22,280","18,817","16,705","19,296","21,830","23,583","22,786","25,284","26,026","28,070","27,925","29,882","27,832","23,209","25,649"
Aircraft manufacturing,"59,735","78,182","76,602","61,095","73,557","69,495","62,409","62,821","73,413","77,339","101,267","101,164","96,069","101,305","101,405","117,868","124,677","132,606","136,496","124,992","151,816","152,894","113,880","94,130","106,106"
Aircraft engine and engine parts manufacturing,"23,104","25,290","24,296","24,412","27,444","24,217","24,190","25,363","27,611","29,294","38,186","36,423","31,979","30,704","34,998","44,017","47,137","49,333","50,032","50,666","52,985","54,104","80,657","48,080","54,720"
Other aircraft parts and auxiliary equipment manufacturing,"20,519","24,466","23,479","20,645","23,083","21,887","21,587","22,671","24,658","29,097","33,367","30,839","31,692","29,719","34,764","35,899","38,205","41,642","40,127","35,105","36,819","37,020","41,050","28,332","28,133"
Guided missile and space vehicle manufacturing,"13,721","14,351","12,344","10,214","9,943","11,556","13,486","10,429","14,084","12,063","16,291","15,928","13,231","17,826","20,143","20,943","21,391","22,167","21,737","18,543","19,495","19,205","21,124","20,707","31,096"
Propulsion units and parts for space vehicles and guided missiles,"4,363","4,510","4,200","3,483","3,723","4,133","4,372","5,595","10,555","5,667","5,911","6,754","6,060","5,919","5,644","5,872","5,927","5,937","5,902","7,735","8,063","7,035","9,349","9,943","12,797"
Railroad rolling stock manufacturing,"8,267","9,396","10,146","9,518","8,505","7,556","7,073","7,874","9,228","10,786","12,758","14,741","11,411","10,336","12,174","16,638","19,665","22,375","21,943","16,199","12,347","12,764","12,319","8,937","9,500"
Ship building and repairing,"10,648","11,518","11,214","11,196","13,143","13,103","13,621","14,033","14,561","15,601","18,351","21,837","24,559","22,044","21,055","22,691","22,560","23,823","26,078","24,496","24,810","24,735","26,671","27,355","31,177"
Boat building,"5,687","6,257","7,472","8,129","7,262","8,371","8,310","9,660","11,168","11,577","10,668","8,638","5,392","5,741","5,868","7,240","7,793","8,487","9,629","9,445","9,994","11,134","11,037","10,502","12,197"
"Motorcycle, bicycle, and parts manufacturing","3,432","3,318","3,266","4,060","4,892","5,592","5,877","5,459","5,694","6,281","6,617","7,158","5,723","5,750","6,345","6,083","6,286","6,392","6,712","7,378","7,522","7,376","7,236","5,684","6,200"
"Military armored vehicle, tank, and tank component manufacturing","1,474","1,469","1,184","1,129","1,458","1,627","2,625","3,770","5,182","6,294","11,471","16,123","14,839","11,536","7,109","6,123","4,492","3,732","4,176","6,671","6,648","6,990","6,798","6,566","6,663"
All other transportation equipment manufacturing,"4,647","5,252","6,143","7,975","8,322","8,223","8,513","9,199","9,883","10,019","8,724","9,665","7,049","8,125","9,281","7,296","8,056","8,648","9,211","8,179","8,377","8,638","9,133","7,906","9,418"
Wood kitchen cabinet and countertop manufacturing,"9,439","10,302","11,168","12,344","13,000","14,831","15,757","17,689","19,622","20,942","19,353","16,425","12,704","11,750","11,506","11,464","12,886","13,377","15,041","15,397","15,173","15,951","14,838","14,877","14,677"
Upholstered household furniture manufacturing,"8,633","9,676","10,464","11,752","10,376","11,828","11,724","11,583","12,064","12,181","13,159","11,182","8,912","8,529","7,644","9,810","10,098","10,414","11,397","11,730","11,919","12,662","11,747","11,710","13,994"
Nonupholstered wood household furniture manufacturing,"10,942","11,636","12,059","11,689","10,434","10,877","9,755","9,192","9,375","9,031","7,379","6,829","4,322","3,842","3,446","4,190","4,225","4,066","4,228","4,279","4,130","4,128","3,763","4,365","5,518"
Institutional furniture manufacturing,"4,565","5,027","5,351","5,252","5,324","5,139","5,158","5,354","5,764","5,884","5,833","5,186","4,120","3,232","3,036","4,655","4,555","4,638","4,774","4,628","4,676","4,840","4,678","4,840","4,849"
Other household nonupholstered furniture,"2,566","2,738","2,983","3,104","3,149","2,692","2,463","2,609","2,807","2,909","3,296","2,807","2,508","2,439","2,582","2,873","2,985","3,010","3,222","3,077","3,076","3,135","3,430","4,081","5,621"
"Showcase, partition, shelving, and locker manufacturing","8,061","8,703","8,502","9,005","9,750","8,742","8,799","8,985","9,439","9,985","8,323","7,231","5,489","5,306","5,686","6,708","6,841","6,963","7,431","7,460","7,264","8,523","7,321","7,293","8,225"
Office furniture and custom architectural woodwork and millwork manufacturing,"13,698","13,813","13,593","15,607","13,891","14,519","14,594","15,215","16,735","16,420","18,774","18,758","13,474","12,324","13,935","16,372","15,492","16,285","17,270","17,513","17,571","18,418","19,207","16,607","16,553"
Other furniture related product manufacturing,"5,672","6,537","6,707","7,137","7,153","6,995","7,020","7,754","8,443","9,029","9,517","8,534","7,983","9,845","9,429","9,714","10,216","10,206","10,333","10,220","10,232","9,586","9,728","9,856","10,206"
Surgical and medical instrument manufacturing,"18,578","19,974","20,595","21,783","23,401","21,844","23,116","23,149","27,075","29,006","30,822","34,965","36,386","36,996","38,232","39,123","42,383","40,125","43,172","39,676","41,631","43,908","40,632","38,777","45,836"
Surgical appliance and supplies manufacturing,"16,061","17,551","18,441","19,792","21,039","25,252","27,873","27,757","31,514","32,367","33,753","35,536","36,419","37,689","37,257","36,478","39,964","36,866","36,131","34,050","33,854","35,834","37,803","37,996","45,806"
Dental equipment and supplies manufacturing,"2,535","2,714","2,882","3,016","3,125","3,129","3,296","3,639","3,993","4,134","4,539","4,785","4,542","4,825","5,063","4,786","5,137","4,234","4,987","4,676","4,859","4,907","5,224","4,717","5,723"
Ophthalmic goods manufacturing,"3,489","4,218","2,257","4,025","4,606","6,229","5,801","6,074","7,234","7,299","8,140","8,086","8,214","6,812","7,331","8,003","8,500","8,204","8,081","7,990","7,824","8,320","8,699","8,373","9,881"
Dental laboratories,"3,319","3,878","3,042","3,093","3,353","3,731","4,029","4,159","4,491","4,712","5,183","5,334","5,131","5,002","5,023","5,554","6,094","5,852","5,774","5,777","5,931","6,418","6,870","6,385","7,594"
Jewelry and silverware manufacturing,"9,291","8,904","9,977","10,391","9,821","9,464","9,617","9,857","10,943","11,343","11,903","14,115","10,079","9,978","8,653","7,873","8,284","8,183","8,072","7,813","7,416","7,865","7,655","6,769","6,809"
Sporting and athletic goods manufacturing,"12,202","12,547","12,015","13,811","12,578","11,992","12,886","12,450","13,239","14,018","13,193","12,744","11,187","10,892","10,670","10,067","10,415","10,322","10,360","9,782","10,083","10,481","10,935","11,098","12,178"
"Doll, toy, and game manufacturing","10,591","10,656","8,033","12,245","3,730","4,384","4,253","3,985","4,169","4,191","3,160","3,029","2,768","3,619","4,634","1,798","1,552","1,615","1,632","1,668","1,566","1,598","1,494","1,437","1,462"
Office supplies (except paper) manufacturing,"4,941","5,017","4,829","5,259","4,404","4,581","4,124","4,030","3,984","3,887","4,240","4,147","3,886","4,512","4,413","2,770","2,704","3,001","3,179","3,110","3,086","3,127","3,276","3,169","2,668"
Sign manufacturing,"9,791","9,834","10,986","11,166","10,915","10,842","10,995","11,602","12,655","14,790","13,666","16,040","13,754","11,552","11,693","11,601","12,729","13,533","13,946","13,817","13,713","14,030","14,646","13,079","13,981"
All other miscellaneous manufacturing,"20,009","21,100","22,000","24,435","22,052","25,581","25,836","27,282","29,135","30,485","30,554","30,807","28,009","27,810","29,037","27,634","29,777","30,848","30,894","29,028","28,844","31,167","30,203","29,807","30,912"
Dog and cat food manufacturing,"8,311","8,528","8,241","8,455","9,384","9,994","10,359","11,366","12,417","12,976","14,136","16,705","18,550","18,493","18,558","20,086","21,736","22,521","22,672","23,661","23,491","24,371","24,213","26,157","26,721"
Other animal food manufacturing,"18,265","17,177","15,392","14,928","16,224","16,456","22,541","19,271","19,244","19,790","23,375","29,826","28,767","27,261","32,476","35,397","36,562","34,885","34,308","32,578","32,234","33,941","33,443","35,141","35,911"
Flour milling and malt manufacturing,"11,036","10,197","8,941","9,039","8,500","8,907","9,662","10,343","10,408","10,781","13,360","17,117","17,153","16,417","19,777","20,214","21,119","21,525","19,645","17,438","16,379","17,263","18,299","19,373","21,243"
Wet corn milling,"8,281","8,005","7,805","7,539","7,839","8,252","9,039","9,927","10,563","10,723","11,775","14,179","13,905","12,264","11,688","12,878","13,824","11,695","10,510","9,972","9,902","10,342","10,203","10,191","11,174"
Fats and oils refining and blending,"7,323","7,459","6,670","5,831","6,159","7,171","7,534","10,195","9,776","9,297","13,065","17,832","13,200","12,388","14,750","16,524","15,446","14,336","12,012","10,705","10,689","10,343","10,534","9,861","10,686"
Soybean and other oilseed processing,"14,840","13,639","11,726","10,816","11,758","13,606","17,145","18,466","18,459","17,924","21,200","32,312","28,704","28,760","34,652","40,403","38,750","36,301","35,390","35,839","30,011","33,187","30,992","36,011","39,789"
Breakfast cereal manufacturing,"8,945","9,643","10,811","11,014","11,375","8,881","9,907","10,476","10,679","9,707","9,886","10,790","11,263","10,494","10,474","10,908","11,095","9,913","9,839","9,568","9,730","9,952","10,075","10,427","11,481"
Sugar and confectionery product manufacturing,"24,251","25,333","25,043","25,737","25,328","25,201","26,025","26,378","28,514","28,406","27,036","26,348","27,934","30,985","31,597","32,987","33,126","32,449","34,461","36,604","36,098","36,848","38,637","38,555","39,429"
Frozen food manufacturing,"20,026","20,587","20,668","21,632","22,213","21,928","21,931","21,919","23,324","24,777","25,047","27,144","27,922","29,638","28,076","30,339","31,206","32,072","32,490","32,286","32,268","32,941","33,097","34,650","36,344"
"Fruit and vegetable canning, pickling, and drying","27,043","27,997","28,680","28,939","29,875","31,740","30,159","30,175","30,302","30,564","34,925","35,871","35,247","32,507","31,799","33,144","34,662","34,117","35,271","34,131","33,209","33,187","33,865","35,429","34,558"
Cheese manufacturing,"19,768","21,891","21,658","19,132","21,055","21,377","21,880","24,707","25,837","24,165","31,870","34,492","28,295","36,649","42,044","40,864","43,558","49,810","44,820","44,959","47,502","47,540","53,387","58,491","60,492"
"Dry, condensed, and evaporated dairy product manufacturing","9,115","9,029","8,885","9,478","9,855","9,327","9,232","9,528","9,461","9,563","13,474","16,038","14,361","17,517","21,667","25,771","26,138","28,333","24,842","23,357","23,422","23,803","23,491","24,841","24,659"
Fluid milk and butter manufacturing,"23,098","23,457","23,555","23,996","25,679","24,860","26,022","28,052","29,251","28,812","33,739","34,955","32,006","35,572","38,648","37,785","38,980","42,021","42,935","43,704","44,340","45,623","47,282","46,202","48,366"
Ice cream and frozen dessert manufacturing,"5,726","5,786","5,371","6,207","6,615","8,058","7,117","7,643","8,609","8,425","8,598","7,536","7,434","7,112","6,868","6,826","7,189","7,687","7,409","8,229","7,550","8,191","8,093","8,724","9,034"
Poultry processing,"31,313","32,185","31,867","31,947","34,078","37,047","38,372","42,917","47,035","45,096","49,181","52,088","51,934","51,370","53,291","57,902","62,301","63,503","63,516","64,088","67,021","64,277","65,492","68,513","72,883"
"Animal (except poultry) slaughtering, rendering, and processing","78,165","73,868","76,484","84,547","88,004","82,168","91,583","94,930","98,983","100,583","107,398","115,346","109,990","122,516","139,311","140,710","142,981","156,181","151,763","144,523","146,895","150,261","154,294","158,650","169,319"
Seafood product preparation and packaging,"6,572","7,116","7,490","8,166","8,512","8,440","8,440","8,923","9,725","10,467","10,296","9,708","10,343","10,114","10,571","10,712","11,218","12,307","13,437","12,925","13,874","13,671","14,344","13,483","14,321"
Bread and bakery product manufacturing,"26,537","28,399","29,259","30,870","31,019","30,130","28,143","30,798","32,644","32,773","33,113","34,870","34,941","34,527","36,111","36,998","39,257","40,106","41,588","43,341","41,698","42,235","43,141","43,181","44,703"
"Cookie, cracker, pasta, and tortilla manufacturing","17,096","17,401","17,654","17,259","17,913","17,733","19,258","19,451","18,966","18,943","20,692","22,490","23,090","23,992","25,148","27,169","27,067","28,309","28,299","28,088","26,737","26,521","28,454","29,480","30,155"
Snack food manufacturing,"13,725","15,336","15,523","15,856","15,828","17,178","18,700","18,729","20,532","21,841","23,778","25,431","25,555","26,626","28,659","30,859","31,891","34,711","35,923","37,211","38,145","38,806","39,629","40,512","41,934"
Coffee and tea manufacturing,"7,841","7,572","7,383","6,463","5,110","5,477","5,736","5,754","6,183","6,921","7,738","8,649","9,177","10,478","12,644","13,043","11,871","13,456","13,989","13,927","13,768","12,584","11,872","11,830","12,203"
Flavoring syrup and concentrate manufacturing,"6,537","6,863","7,428","8,038","7,922","8,208","8,662","8,245","8,013","8,371","9,125","9,228","9,130","8,970","9,605","8,777","8,828","10,295","10,059","10,554","11,671","11,294","11,826","11,608","11,816"
Seasoning and dressing manufacturing,"9,889","10,596","11,342","11,145","10,246","11,066","11,772","12,586","13,110","13,686","14,057","15,082","15,969","16,601","17,279","18,941","19,647","19,250","18,967","19,584","21,106","22,416","24,088","24,916","25,738"
All other food manufacturing,"10,897","11,327","10,611","11,519","11,898","14,701","16,693","19,659","20,010","21,342","18,772","20,139","20,555","20,321","20,800","21,977","23,582","24,788","26,996","28,086","29,331","29,934","30,830","32,096","32,468"
Soft drink and ice manufacturing,"30,822","32,178","32,766","33,554","34,788","33,292","35,111","38,711","42,316","41,130","44,818","44,687","42,253","41,779","42,204","45,883","45,865","47,077","47,738","44,454","42,284","41,685","44,041","43,961","46,775"
Breweries,"21,171","21,092","19,870","22,330","21,068","20,956","23,472","23,269","23,702","24,484","24,124","22,745","27,189","28,803","29,841","31,270","34,714","33,690","33,801","34,060","32,244","33,355","32,570","29,812","31,415"
Wineries,"7,225","7,273","7,311","8,403","8,900","9,747","9,510","9,840","10,932","12,064","13,183","13,768","15,872","15,194","16,072","16,557","16,674","19,265","20,987","22,613","21,500","21,193","21,751","20,093","21,891"
Distilleries,"6,158","6,045","5,827","6,618","6,170","6,718","7,597","7,812","8,526","8,974","10,207","10,608","11,183","10,654","11,908","14,521","14,973","16,074","17,027","17,382","17,784","18,550","20,644","20,401","21,629"
Tobacco product manufacturing,"51,864","54,266","53,890","57,651","63,096","50,077","48,151","49,930","53,529","55,012","52,584","52,647","60,676","62,318","59,456","56,482","55,746","52,103","55,529","61,991","60,535","59,790","59,272","61,212","66,339"
"Fiber, yarn, and thread mills","12,857","12,712","11,949","11,333","10,063","10,677","10,150","10,681","10,621","9,693","9,316","8,317","6,079","6,896","7,535","7,723","8,031","8,063","7,797","7,227","7,194","6,985","6,583","5,650","6,299"
Fabric mills,"29,907","29,775","27,902","26,123","22,785","22,331","21,258","19,676","19,381","18,283","17,269","15,653","13,491","15,040","15,671","14,795","15,279","15,006","13,469","13,249","13,104","13,073","12,779","12,467","14,584"
Textile and fabric finishing and fabric coating mills,"15,782","15,065","14,455","14,245","12,798","12,296","11,199","10,577","11,218","9,748","9,215","7,544","6,189","7,642","7,899","7,413","8,070","8,069","7,913","7,655","7,278","7,797","7,691","7,163","8,457"
Carpet and rug mills,"11,657","12,225","12,257","13,507","13,263","14,053","14,177","15,072","17,028","16,234","14,782","11,686","8,930","7,796","8,988","9,049","9,384","9,848","9,793","9,943","9,748","9,108","8,559","7,797","8,208"
Curtain and linen mills,"8,088","7,476","8,498","8,797","7,757","6,563","6,235","7,378","7,495","6,348","3,918","3,585","2,991","3,181","3,460","3,620","3,593","4,320","4,427","4,230","3,573","3,631","3,686","3,611","3,749"
Other textile product mills,"10,845","10,405","11,498","11,049","9,963","9,459","9,300","10,334","11,296","11,385","9,902","9,732","8,609","9,272","9,321","9,110","9,657","10,525","10,138","9,984","9,264","9,985","10,507","10,289","10,938"
Apparel manufacturing,"71,182","64,566","62,083","58,769","50,026","43,740","37,787","32,083","32,479","30,043","21,266","17,490","14,636","15,443","15,796","12,225","12,167","11,866","11,564","11,213","10,554","10,428","11,115","9,190","12,352"
Leather and allied product manufacturing,"16,008","14,481","13,896","16,559","8,748","7,127","7,115","7,105","7,786","9,151","8,582","9,202","9,756","7,828","9,104","7,000","7,385","7,189","7,061","7,764","6,824","6,733","6,765","7,762","10,192"
